transaction_id,customer_id,created_at,amount,currency,payment_method,status,recovery_outcome
TXN-0000048,CUST-000011,2020-05-22T11:06:00,64.94,USD,card,completed,not_applicable
TXN-0000049,CUST-000012,2020-06-29T17:27:00,2591.74,CAD,card,completed,not_applicable
TXN-0000050,CUST-000012,2020-09-20T17:27:00,923.68,CAD,card,completed,not_applicable
TXN-0000051,CUST-000012,2021-01-14T17:27:00,5246.06,CAD,card,completed,not_applicable
TXN-0000052,CUST-000012,2021-04-21T17:27:00,5718.17,CAD,card,completed,not_applicable
TXN-0000053,CUST-000012,2021-08-04T17:27:00,2998.17,CAD,card,failed,recovered_review
TXN-0000054,CUST-000012,2021-09-24T17:27:00,18224.21,CAD,card,completed,not_applicable
TXN-0000055,CUST-000012,2021-11-30T17:27:00,6275.71,CAD,card,completed,not_applicable
TXN-0000056,CUST-000013,2019-09-07T19:25:00,109.71,USD,card,completed,not_applicable
TXN-0000057,CUST-000013,2019-11-27T19:25:00,19.89,USD,card,completed,not_applicable
TXN-0000058,CUST-000013,2020-02-18T19:25:00,103.57,USD,card,completed,not_applicable
TXN-0000059,CUST-000013,2020-05-27T19:25:00,33.83,USD,card,completed,not_applicable
TXN-0000060,CUST-000013,2020-08-02T19:25:00,18.83,USD,card,completed,not_applicable
TXN-0000061,CUST-000013,2020-09-15T19:25:00,46.10,USD,card,completed,not_applicable
TXN-0000062,CUST-000014,2019-09-27T06:05:00,385.04,USD,card,completed,not_applicable
TXN-0000063,CUST-000014,2020-01-12T06:05:00,201.02,USD,card,completed,not_applicable
TXN-0000064,CUST-000014,2020-02-06T06:05:00,671.53,USD,digital_wallet,completed,not_applicable
TXN-0000065,CUST-000014,2020-03-06T06:05:00,306.64,USD,card,completed,not_applicable
TXN-0000066,CUST-000014,2020-06-09T06:05:00,186.01,USD,card,completed,not_applicable
TXN-0000067,CUST-000014,2020-10-02T06:05:00,244.18,USD,card,completed,not_applicable
TXN-0000068,CUST-000015,2022-01-03T03:43:00,4146.01,EUR,card,completed,not_applicable
TXN-0000069,CUST-000015,2022-02-21T03:43:00,1718.70,EUR,card,failed,unrecovered
TXN-0000070,CUST-000015,2022-06-03T03:43:00,44370.92,EUR,card,completed,not_applicable
TXN-0000071,CUST-000015,2022-07-02T03:43:00,3869.24,EUR,card,completed,not_applicable
TXN-0000072,CUST-000016,2019-06-30T21:50:00,35.00,GBP,card,completed,not_applicable
TXN-0000073,CUST-000016,2019-08-02T21:50:00,10.91,GBP,card,completed,not_applicable
TXN-0000074,CUST-000016,2019-10-13T21:50:00,81.71,GBP,card,completed,not_applicable
TXN-0000075,CUST-000016,2019-11-18T21:50:00,17.09,GBP,card,completed,not_applicable
TXN-0000076,CUST-000016,2020-01-25T21:50:00,24.60,GBP,card,completed,not_applicable
TXN-0000077,CUST-000017,2021-07-02T03:10:00,5225.38,CAD,digital_wallet,completed,not_applicable
TXN-0000078,CUST-000017,2021-08-08T03:10:00,9580.43,CAD,digital_wallet,completed,not_applicable
TXN-0000079,CUST-000017,2021-09-04T03:10:00,3537.11,CAD,digital_wallet,completed,not_applicable
TXN-0000080,CUST-000017,2021-12-28T03:10:00,1584.67,CAD,card,completed,not_applicable
TXN-0000081,CUST-000017,2022-04-10T03:10:00,1389.22,CAD,digital_wallet,failed,recovered_review
TXN-0000082,CUST-000017,2022-05-06T03:10:00,1838.65,CAD,digital_wallet,completed,not_applicable
TXN-0000083,CUST-000017,2022-06-08T03:10:00,1000.61,CAD,digital_wallet,completed,not_applicable
TXN-0000084,CUST-000018,2024-01-18T06:28:00,29.35,USD,card,completed,not_applicable
TXN-0000085,CUST-000018,2024-04-18T06:28:00,77.67,USD,card,completed,not_applicable
TXN-0000086,CUST-000018,2024-06-02T06:28:00,34.31,USD,digital_wallet,failed,recovered_retry
TXN-0000087,CUST-000018,2024-09-03T06:28:00,158.28,USD,digital_wallet,completed,not_applicable
TXN-0000088,CUST-000018,2024-11-08T06:28:00,126.24,USD,card,completed,not_applicable
TXN-0000089,CUST-000018,2025-02-20T06:28:00,63.39,USD,card,completed,not_applicable
TXN-0000090,CUST-000019,2022-09-13T17:17:00,48.44,USD,card,failed,recovered_retry
TXN-0000091,CUST-000019,2022-11-24T17:17:00,81.69,USD,card,completed,not_applicable
TXN-0000092,CUST-000019,2023-02-03T17:17:00,80.49,USD,card,completed,not_applicable
TXN-0000093,CUST-000019,2023-04-29T17:17:00,11.99,USD,bank_transfer,completed,not_applicable
TXN-0000094,CUST-000019,2023-07-18T17:17:00,33.55,USD,card,completed,not_applicable
TXN-0000095,CUST-000019,2023-11-02T17:17:00,83.83,USD,card,completed,not_applicable
TXN-0000096,CUST-000019,2023-12-03T17:17:00,15.06,USD,card,completed,not_applicable
TXN-0000097,CUST-000020,2023-03-04T06:01:00,8543.33,EUR,card,failed,unrecovered
TXN-0000098,CUST-000020,2023-05-06T06:01:00,9146.97,EUR,card,failed,unrecovered
TXN-0000099,CUST-000020,2023-05-28T06:01:00,1657.63,EUR,card,completed,not_applicable
TXN-0000100,CUST-000020,2023-09-18T06:01:00,4577.02,EUR,card,completed,not_applicable
TXN-0000101,CUST-000020,2023-12-05T06:01:00,4197.17,EUR,card,completed,not_applicable
TXN-0000102,CUST-000020,2024-02-27T06:01:00,971.59,EUR,card,completed,not_applicable
TXN-0000103,CUST-000020,2024-03-25T06:01:00,10131.18,EUR,card,completed,not_applicable
TXN-0000104,CUST-000021,2023-03-13T13:34:00,7.20,INR,card,completed,not_applicable
TXN-0000105,CUST-000021,2023-07-11T13:34:00,175.32,INR,card,completed,not_applicable
TXN-0000106,CUST-000021,2023-10-31T13:34:00,34.14,INR,card,completed,not_applicable
TXN-0000107,CUST-000021,2024-02-13T13:34:00,25.96,INR,card,completed,not_applicable
TXN-0000108,CUST-000021,2024-03-27T13:34:00,121.06,INR,card,completed,not_applicable
TXN-0000109,CUST-000021,2024-05-11T13:34:00,98.18,INR,card,completed,not_applicable
TXN-0000110,CUST-000022,2022-01-05T18:04:00,118.08,GBP,card,failed,recovered_retry
TXN-0000111,CUST-000022,2022-05-02T18:04:00,27.56,GBP,card,completed,not_applicable
TXN-0000112,CUST-000022,2022-06-13T18:04:00,20.94,GBP,card,completed,not_applicable
TXN-0000113,CUST-000022,2022-10-01T18:04:00,32.46,GBP,card,completed,not_applicable
TXN-0000114,CUST-000022,2023-01-19T18:04:00,50.88,GBP,card,completed,not_applicable
TXN-0000115,CUST-000023,2023-10-07T01:05:00,76.52,USD,digital_wallet,completed,not_applicable
TXN-0000116,CUST-000023,2023-11-10T01:05:00,57.83,USD,digital_wallet,completed,not_applicable
TXN-0000117,CUST-000023,2024-01-26T01:05:00,56.29,USD,digital_wallet,completed,not_applicable
TXN-0000118,CUST-000023,2024-02-10T01:05:00,54.69,USD,digital_wallet,completed,not_applicable
TXN-0000119,CUST-000023,2024-05-19T01:05:00,13.84,USD,digital_wallet,completed,not_applicable
TXN-0000120,CUST-000024,2020-01-25T15:54:00,196.47,AUD,card,completed,not_applicable
TXN-0000121,CUST-000024,2020-05-12T15:54:00,17.26,AUD,card,completed,not_applicable
TXN-0000122,CUST-000024,2020-08-22T15:54:00,21.12,AUD,card,completed,not_applicable
TXN-0000123,CUST-000024,2020-11-24T15:54:00,48.01,AUD,card,completed,not_applicable
TXN-0000124,CUST-000024,2021-01-22T15:54:00,167.94,AUD,card,completed,not_applicable
TXN-0000125,CUST-000025,2022-04-08T07:55:00,659.57,GBP,card,completed,not_applicable
TXN-0000126,CUST-000025,2022-06-13T07:55:00,992.50,GBP,card,completed,not_applicable
TXN-0000127,CUST-000026,2019-06-07T08:58:00,51.83,GBP,digital_wallet,completed,not_applicable
TXN-0000128,CUST-000026,2019-10-01T08:58:00,25.40,GBP,digital_wallet,completed,not_applicable
TXN-0000129,CUST-000026,2019-11-18T08:58:00,75.76,GBP,digital_wallet,completed,not_applicable
TXN-0000130,CUST-000026,2020-02-03T08:58:00,40.91,GBP,digital_wallet,completed,not_applicable
TXN-0000131,CUST-000026,2020-04-26T08:58:00,111.71,GBP,digital_wallet,completed,not_applicable
TXN-0000132,CUST-000026,2020-06-14T08:58:00,27.96,GBP,card,completed,not_applicable
TXN-0000133,CUST-000026,2020-06-26T08:58:00,51.51,GBP,digital_wallet,completed,not_applicable
TXN-0000134,CUST-000027,2019-09-29T01:44:00,723.72,EUR,card,completed,not_applicable
TXN-0000135,CUST-000027,2019-12-26T01:44:00,2529.64,EUR,card,completed,not_applicable
TXN-0000136,CUST-000027,2020-01-15T01:44:00,7855.37,EUR,card,failed,unrecovered
TXN-0000137,CUST-000027,2020-04-09T01:44:00,36791.80,EUR,card,completed,not_applicable
TXN-0000138,CUST-000027,2020-05-04T01:44:00,3052.27,EUR,digital_wallet,completed,not_applicable
TXN-0000139,CUST-000027,2020-07-29T01:44:00,1794.26,EUR,card,completed,not_applicable
TXN-0000140,CUST-000027,2020-09-01T01:44:00,1227.81,EUR,card,failed,unrecovered
TXN-0000141,CUST-000028,2020-07-28T17:20:00,26.45,INR,digital_wallet,completed,not_applicable
TXN-0000142,CUST-000028,2020-10-04T17:20:00,31.88,INR,card,completed,not_applicable
TXN-0000143,CUST-000028,2021-01-25T17:20:00,37.98,INR,card,completed,not_applicable
TXN-0000144,CUST-000028,2021-03-17T17:20:00,152.12,INR,card,completed,not_applicable
TXN-0000145,CUST-000028,2021-04-12T17:20:00,11.57,INR,card,completed,not_applicable
TXN-0000146,CUST-000028,2021-06-08T17:20:00,60.38,INR,card,completed,not_applicable
TXN-0000147,CUST-000028,2021-08-06T17:20:00,52.09,INR,card,completed,not_applicable
TXN-0000148,CUST-000029,2019-05-31T07:26:00,72.70,EUR,card,completed,not_applicable
TXN-0000149,CUST-000029,2019-08-03T07:26:00,30.23,EUR,card,completed,not_applicable
TXN-0000150,CUST-000029,2019-11-24T07:26:00,23.31,EUR,card,completed,not_applicable
TXN-0000151,CUST-000029,2020-02-20T07:26:00,92.77,EUR,card,completed,not_applicable
TXN-0000152,CUST-000029,2020-05-09T07:26:00,62.39,EUR,card,completed,not_applicable
TXN-0000153,CUST-000030,2019-05-26T18:07:00,422.14,USD,card,completed,not_applicable
TXN-0000154,CUST-000030,2019-07-24T18:07:00,370.03,USD,card,completed,not_applicable
TXN-0000155,CUST-000030,2019-08-27T18:07:00,419.12,USD,card,completed,not_applicable
TXN-0000156,CUST-000030,2019-12-02T18:07:00,144.35,USD,card,completed,not_applicable
TXN-0000157,CUST-000030,2020-02-04T18:07:00,306.05,USD,card,completed,not_applicable
TXN-0000158,CUST-000030,2020-04-28T18:07:00,550.79,USD,card,completed,not_applicable
TXN-0000159,CUST-000031,2020-10-16T11:58:00,2738.20,USD,digital_wallet,completed,not_applicable
TXN-0000160,CUST-000031,2021-01-12T11:58:00,1098.60,USD,digital_wallet,completed,not_applicable
TXN-0000161,CUST-000031,2021-04-10T11:58:00,18700.66,USD,digital_wallet,completed,not_applicable
TXN-0000162,CUST-000031,2021-05-05T11:58:00,275.76,USD,digital_wallet,completed,not_applicable
TXN-0000163,CUST-000031,2021-05-30T11:58:00,4387.34,USD,digital_wallet,completed,not_applicable
TXN-0000164,CUST-000031,2021-08-30T11:58:00,1921.21,USD,card,completed,not_applicable
TXN-0000165,CUST-000032,2020-04-23T15:22:00,1026.59,USD,card,completed,not_applicable
TXN-0000166,CUST-000032,2020-08-21T15:22:00,107.95,USD,card,completed,not_applicable
TXN-0000167,CUST-000032,2020-11-25T15:22:00,51.70,USD,card,completed,not_applicable
TXN-0000168,CUST-000033,2019-02-21T02:29:00,35.15,USD,digital_wallet,completed,not_applicable
TXN-0000169,CUST-000033,2019-05-15T02:29:00,188.33,USD,digital_wallet,completed,not_applicable
TXN-0000170,CUST-000033,2019-06-20T02:29:00,23.28,USD,digital_wallet,completed,not_applicable
TXN-0000171,CUST-000034,2024-05-21T18:56:00,479.51,CAD,card,completed,not_applicable
TXN-0000172,CUST-000034,2024-06-30T18:56:00,442.68,CAD,card,completed,not_applicable
TXN-0000173,CUST-000034,2024-10-11T18:56:00,104.11,CAD,card,completed,not_applicable
TXN-0000174,CUST-000034,2024-12-25T18:56:00,1394.38,CAD,card,completed,not_applicable
TXN-0000175,CUST-000034,2025-03-30T18:56:00,927.06,CAD,card,completed,not_applicable
TXN-0000176,CUST-000034,2025-06-15T18:56:00,416.35,CAD,card,completed,not_applicable
TXN-0000177,CUST-000035,2024-03-07T22:15:00,2599.31,AUD,card,completed,not_applicable
TXN-0000178,CUST-000035,2024-05-14T22:15:00,2346.62,AUD,card,completed,not_applicable
TXN-0000179,CUST-000035,2024-05-31T22:15:00,4385.78,AUD,card,completed,not_applicable
TXN-0000180,CUST-000036,2023-12-23T14:53:00,40.34,EUR,card,completed,not_applicable
TXN-0000181,CUST-000036,2024-01-30T14:53:00,64.43,EUR,card,completed,not_applicable
TXN-0000182,CUST-000036,2024-02-20T14:53:00,114.59,EUR,digital_wallet,completed,not_applicable
TXN-0000183,CUST-000036,2024-06-13T14:53:00,18.25,EUR,card,completed,not_applicable
TXN-0000184,CUST-000037,2019-02-27T21:56:00,26.21,CAD,digital_wallet,completed,not_applicable
TXN-0000185,CUST-000037,2019-04-15T21:56:00,8.11,CAD,card,failed,recovered_retry
TXN-0000186,CUST-000038,2023-01-14T13:59:00,109.47,CAD,digital_wallet,completed,not_applicable
TXN-0000187,CUST-000038,2023-03-16T13:59:00,214.55,CAD,digital_wallet,completed,not_applicable
TXN-0000188,CUST-000038,2023-04-01T13:59:00,35.13,CAD,digital_wallet,completed,not_applicable
TXN-0000189,CUST-000038,2023-05-02T13:59:00,87.04,CAD,digital_wallet,completed,not_applicable
TXN-0000190,CUST-000038,2023-08-03T13:59:00,20.95,CAD,digital_wallet,completed,not_applicable
TXN-0000191,CUST-000038,2023-09-22T13:59:00,177.67,CAD,digital_wallet,completed,not_applicable
TXN-0000192,CUST-000038,2024-01-19T13:59:00,21.22,CAD,digital_wallet,completed,not_applicable
TXN-0000193,CUST-000039,2020-04-21T10:30:00,21.45,INR,card,failed,unrecovered
TXN-0000194,CUST-000039,2020-06-14T10:30:00,76.61,INR,card,completed,not_applicable
TXN-0000195,CUST-000039,2020-06-25T10:30:00,73.03,INR,card,failed,unrecovered
TXN-0000196,CUST-000039,2020-10-20T10:30:00,59.25,INR,card,completed,not_applicable
TXN-0000197,CUST-000039,2020-12-03T10:30:00,18.35,INR,card,completed,not_applicable
TXN-0000198,CUST-000040,2022-11-09T08:46:00,2122.74,GBP,card,failed,unrecovered
TXN-0000199,CUST-000040,2022-12-26T08:46:00,801.47,GBP,digital_wallet,completed,not_applicable
TXN-0000200,CUST-000041,2022-06-28T08:56:00,1612.94,USD,digital_wallet,completed,not_applicable
TXN-0000201,CUST-000041,2022-09-25T08:56:00,4433.31,USD,digital_wallet,failed,recovered_retry
TXN-0000202,CUST-000041,2022-11-30T08:56:00,20615.48,USD,digital_wallet,completed,not_applicable
TXN-0000203,CUST-000041,2022-12-15T08:56:00,11900.70,USD,digital_wallet,failed,unrecovered
TXN-0000204,CUST-000041,2023-01-31T08:56:00,667.24,USD,digital_wallet,completed,not_applicable
TXN-0000205,CUST-000042,2022-12-26T03:45:00,493.14,INR,bank_transfer,completed,not_applicable
TXN-0000206,CUST-000042,2023-04-10T03:45:00,362.35,INR,bank_transfer,completed,not_applicable
TXN-0000207,CUST-000042,2023-06-27T03:45:00,364.79,INR,bank_transfer,completed,not_applicable
TXN-0000208,CUST-000042,2023-07-07T03:45:00,780.31,INR,bank_transfer,completed,not_applicable
TXN-0000209,CUST-000043,2023-10-17T00:40:00,31.66,CAD,card,completed,not_applicable
TXN-0000210,CUST-000043,2024-01-10T00:40:00,47.43,CAD,card,completed,not_applicable
TXN-0000211,CUST-000043,2024-04-30T00:40:00,12.37,CAD,card,completed,not_applicable
TXN-0000212,CUST-000043,2024-05-29T00:40:00,26.83,CAD,card,completed,not_applicable
TXN-0000213,CUST-000044,2022-11-19T12:37:00,2090.47,INR,digital_wallet,completed,not_applicable
TXN-0000214,CUST-000044,2023-03-03T12:37:00,3662.41,INR,digital_wallet,completed,not_applicable
TXN-0000215,CUST-000044,2023-06-29T12:37:00,7140.86,INR,digital_wallet,completed,not_applicable
TXN-0000216,CUST-000044,2023-09-15T12:37:00,2999.31,INR,digital_wallet,completed,not_applicable
TXN-0000217,CUST-000044,2024-01-13T12:37:00,18972.66,INR,digital_wallet,completed,not_applicable
TXN-0000218,CUST-000044,2024-04-01T12:37:00,7114.15,INR,digital_wallet,completed,not_applicable
TXN-0000219,CUST-000044,2024-04-14T12:37:00,3708.99,INR,card,completed,not_applicable
TXN-0000220,CUST-000045,2022-10-22T11:15:00,35.89,GBP,bank_transfer,completed,not_applicable
TXN-0000221,CUST-000045,2023-02-19T11:15:00,32.16,GBP,bank_transfer,completed,not_applicable
TXN-0000222,CUST-000045,2023-04-18T11:15:00,36.18,GBP,bank_transfer,completed,not_applicable
TXN-0000223,CUST-000046,2020-09-26T20:55:00,114.20,EUR,card,completed,not_applicable
TXN-0000224,CUST-000046,2020-12-16T20:55:00,62.84,EUR,card,completed,not_applicable
TXN-0000225,CUST-000046,2021-02-27T20:55:00,13.03,EUR,card,completed,not_applicable
TXN-0000226,CUST-000047,2019-03-10T13:03:00,52.05,AUD,card,failed,unrecovered
TXN-0000227,CUST-000047,2019-04-17T13:03:00,52.45,AUD,card,completed,not_applicable
TXN-0000228,CUST-000048,2021-03-01T08:30:00,73.87,USD,bank_transfer,completed,not_applicable
TXN-0000229,CUST-000048,2021-03-12T08:30:00,11.13,USD,card,completed,not_applicable
TXN-0000230,CUST-000048,2021-04-07T08:30:00,34.76,USD,bank_transfer,failed,recovered_retry
TXN-0000231,CUST-000049,2020-01-29T05:32:00,391.14,INR,card,failed,recovered_review
TXN-0000232,CUST-000049,2020-03-20T05:32:00,184.61,INR,card,failed,unrecovered
TXN-0000233,CUST-000049,2020-07-08T05:32:00,2661.99,INR,card,completed,not_applicable
TXN-0000234,CUST-000050,2020-11-28T22:07:00,2522.88,CAD,card,failed,unrecovered
TXN-0000235,CUST-000050,2021-02-13T22:07:00,4172.28,CAD,card,completed,not_applicable
TXN-0000236,CUST-000050,2021-05-15T22:07:00,1652.13,CAD,card,completed,not_applicable
TXN-0000237,CUST-000050,2021-06-28T22:07:00,2820.03,CAD,card,completed,not_applicable
TXN-0000238,CUST-000050,2021-07-19T22:07:00,14611.79,CAD,card,completed,not_applicable
TXN-0000239,CUST-000050,2021-10-02T22:07:00,6810.57,CAD,card,completed,not_applicable
TXN-0000240,CUST-000051,2023-04-28T06:38:00,345.04,GBP,digital_wallet,completed,not_applicable
TXN-0000241,CUST-000051,2023-05-14T06:38:00,86.69,GBP,digital_wallet,completed,not_applicable
TXN-0000242,CUST-000051,2023-07-11T06:38:00,1785.01,GBP,digital_wallet,completed,not_applicable
TXN-0000243,CUST-000052,2021-07-04T13:24:00,120.05,USD,card,completed,not_applicable
TXN-0000244,CUST-000052,2021-09-26T13:24:00,86.13,USD,card,completed,not_applicable
TXN-0000245,CUST-000052,2021-11-11T13:24:00,48.46,USD,card,completed,not_applicable
TXN-0000246,CUST-000052,2021-12-15T13:24:00,36.16,USD,card,completed,not_applicable
TXN-0000247,CUST-000052,2022-02-18T13:24:00,38.11,USD,card,completed,not_applicable
TXN-0000248,CUST-000052,2022-04-07T13:24:00,14.96,USD,card,completed,not_applicable
TXN-0000249,CUST-000053,2023-02-07T06:15:00,47.83,GBP,card,completed,not_applicable
TXN-0000250,CUST-000053,2023-06-01T06:15:00,68.89,GBP,card,failed,unrecovered
TXN-0000251,CUST-000053,2023-07-09T06:15:00,153.04,GBP,card,completed,not_applicable
TXN-0000252,CUST-000054,2024-05-22T23:32:00,388.46,CAD,digital_wallet,completed,not_applicable
TXN-0000253,CUST-000054,2024-08-17T23:32:00,598.52,CAD,digital_wallet,completed,not_applicable
TXN-0000254,CUST-000054,2024-10-19T23:32:00,120.64,CAD,digital_wallet,completed,not_applicable
TXN-0000255,CUST-000054,2024-12-22T23:32:00,488.80,CAD,digital_wallet,completed,not_applicable
TXN-0000256,CUST-000055,2022-05-27T16:44:00,594.84,GBP,bank_transfer,completed,not_applicable
TXN-0000257,CUST-000055,2022-07-26T16:44:00,325.58,GBP,card,completed,not_applicable
TXN-0000258,CUST-000055,2022-08-22T16:44:00,1612.80,GBP,card,failed,unrecovered
TXN-0000259,CUST-000055,2022-09-14T16:44:00,543.13,GBP,card,completed,not_applicable
TXN-0000260,CUST-000056,2023-10-09T16:59:00,81.82,USD,card,completed,not_applicable
TXN-0000261,CUST-000056,2023-10-21T16:59:00,91.23,USD,card,completed,not_applicable
TXN-0000262,CUST-000056,2023-12-24T16:59:00,52.91,USD,card,completed,not_applicable
TXN-0000263,CUST-000056,2024-03-12T16:59:00,68.18,USD,card,completed,not_applicable
TXN-0000264,CUST-000056,2024-06-29T16:59:00,48.10,USD,card,completed,not_applicable
TXN-0000265,CUST-000057,2019-10-18T08:26:00,240.82,USD,card,completed,not_applicable
TXN-0000266,CUST-000057,2020-02-06T08:26:00,362.28,USD,card,completed,not_applicable
TXN-0000267,CUST-000057,2020-03-27T08:26:00,2327.71,USD,card,completed,not_applicable
TXN-0000268,CUST-000058,2023-04-25T00:33:00,40.81,AUD,digital_wallet,completed,not_applicable
TXN-0000269,CUST-000058,2023-07-07T00:33:00,40.60,AUD,card,completed,not_applicable
TXN-0000270,CUST-000058,2023-10-17T00:33:00,44.40,AUD,card,completed,not_applicable
TXN-0000271,CUST-000059,2020-03-25T03:15:00,298.58,EUR,digital_wallet,completed,not_applicable
TXN-0000272,CUST-000059,2020-06-23T03:15:00,544.99,EUR,card,completed,not_applicable
TXN-0000273,CUST-000059,2020-10-04T03:15:00,441.02,EUR,card,completed,not_applicable
TXN-0000274,CUST-000059,2020-12-09T03:15:00,82.92,EUR,card,completed,not_applicable
TXN-0000275,CUST-000059,2021-01-13T03:15:00,570.11,EUR,card,completed,not_applicable
TXN-0000276,CUST-000059,2021-04-24T03:15:00,153.56,EUR,card,completed,not_applicable
TXN-0000277,CUST-000060,2021-03-05T19:44:00,183.72,EUR,bank_transfer,completed,not_applicable
TXN-0000278,CUST-000060,2021-05-16T19:44:00,61.67,EUR,bank_transfer,completed,not_applicable
TXN-0000279,CUST-000061,2024-06-15T05:39:00,33.59,CAD,card,completed,not_applicable
TXN-0000280,CUST-000061,2024-07-17T05:39:00,14.52,CAD,card,completed,not_applicable
TXN-0000281,CUST-000061,2024-10-08T05:39:00,56.72,CAD,card,completed,not_applicable
TXN-0000282,CUST-000061,2025-01-03T05:39:00,23.84,CAD,card,completed,not_applicable
TXN-0000283,CUST-000061,2025-01-20T05:39:00,37.40,CAD,card,completed,not_applicable
TXN-0000284,CUST-000062,2022-12-20T13:11:00,316.17,USD,digital_wallet,completed,not_applicable
TXN-0000285,CUST-000062,2023-03-12T13:11:00,991.89,USD,digital_wallet,failed,unrecovered
TXN-0000286,CUST-000062,2023-05-13T13:11:00,564.07,USD,digital_wallet,completed,not_applicable
TXN-0000287,CUST-000062,2023-07-17T13:11:00,369.13,USD,digital_wallet,completed,not_applicable
