customer_id,signup_date,customer_segment,country,preferred_payment_method
CUST-000085,2023-03-30,retail,GB,card
CUST-000086,2023-06-25,retail,US,card
CUST-000087,2021-10-17,enterprise,US,bank_transfer
CUST-000088,2020-01-26,enterprise,GB,digital_wallet
CUST-000089,2021-11-05,retail,US,bank_transfer
CUST-000090,2023-04-12,retail,GB,card
CUST-000091,2019-03-31,retail,GB,digital_wallet
CUST-000092,2019-07-24,retail,GB,bank_transfer
CUST-000093,2020-11-24,smb,US,card
CUST-000094,2020-04-25,smb,CA,digital_wallet
CUST-000095,2021-06-27,retail,US,card
CUST-000096,2021-04-23,retail,IN,card
CUST-000097,2019-10-21,retail,DE,card
CUST-000098,2022-04-18,retail,AU,bank_transfer
CUST-000099,2020-08-28,enterprise,US,digital_wallet
CUST-000100,2019-04-11,enterprise,IN,digital_wallet
CUST-000101,2022-10-26,smb,DE,digital_wallet
CUST-000102,2019-07-04,enterprise,US,card
CUST-000103,2020-07-12,smb,US,digital_wallet
CUST-000104,2024-05-26,retail,IN,card
CUST-000105,2019-07-04,smb,US,card
CUST-000106,2024-04-09,retail,IN,card
CUST-000107,2022-12-06,retail,GB,card
CUST-000108,2019-10-05,retail,US,digital_wallet
CUST-000109,2022-09-03,retail,GB,card
CUST-000110,2023-10-18,retail,AU,card
CUST-000111,2022-08-02,retail,US,digital_wallet
CUST-000112,2020-02-29,retail,IN,card
CUST-000113,2019-09-24,retail,IN,card
CUST-000114,2019-02-02,retail,US,bank_transfer
CUST-000115,2019-08-12,retail,US,card
CUST-000116,2023-10-02,retail,IN,card
CUST-000117,2022-01-28,smb,US,card
CUST-000118,2022-02-03,smb,US,card
CUST-000119,2021-05-24,retail,US,digital_wallet
CUST-000120,2023-03-05,smb,IN,card
CUST-000121,2022-09-24,enterprise,GB,digital_wallet
CUST-000122,2019-11-13,smb,US,card
CUST-000123,2023-09-27,retail,IN,card
CUST-000124,2019-03-01,retail,IN,card
CUST-000125,2019-10-18,smb,AU,card
CUST-000126,2020-10-26,smb,DE,card
CUST-000127,2022-09-17,retail,DE,card
CUST-000128,2022-04-29,retail,IN,card
CUST-000129,2019-10-09,smb,US,card
CUST-000130,2022-02-18,smb,IN,card
CUST-000131,2019-08-24,retail,AU,card
CUST-000132,2019-08-05,retail,DE,card
CUST-000133,2021-11-11,smb,GB,card
CUST-000134,2019-07-30,retail,US,card
CUST-000135,2023-03-26,retail,DE,bank_transfer
CUST-000136,2020-10-09,retail,US,card
CUST-000137,2021-07-14,retail,US,card
CUST-000138,2023-02-22,smb,GB,digital_wallet
CUST-000139,2020-12-04,enterprise,US,card
CUST-000140,2021-01-15,retail,US,card
CUST-000141,2019-07-13,retail,US,card
CUST-000142,2020-09-27,enterprise,IN,card
CUST-000143,2023-08-25,enterprise,AU,digital_wallet
CUST-000144,2024-05-01,retail,CA,card
CUST-000145,2023-12-15,retail,IN,digital_wallet
CUST-000146,2022-07-03,smb,US,card
CUST-000147,2023-03-14,smb,US,card
CUST-000148,2022-03-14,enterprise,GB,card
CUST-000149,2019-10-11,smb,US,card
CUST-000150,2019-06-21,smb,US,digital_wallet
CUST-000151,2020-12-16,enterprise,GB,card
CUST-000152,2019-07-22,smb,DE,digital_wallet
CUST-000153,2022-12-15,retail,DE,digital_wallet
CUST-000154,2020-05-01,retail,US,card
CUST-000155,2020-05-10,smb,US,card
CUST-000156,2021-01-08,retail,GB,card
CUST-000157,2021-02-03,retail,US,digital_wallet
CUST-000158,2020-11-11,retail,US,card
CUST-000159,2023-01-06,smb,GB,card
CUST-000160,2020-01-27,retail,CA,card
CUST-000161,2021-06-19,smb,US,digital_wallet
CUST-000162,2023-01-29,retail,GB,digital_wallet
CUST-000163,2021-07-02,smb,GB,bank_transfer
CUST-000164,2020-07-16,smb,IN,card
CUST-000165,2022-10-20,smb,US,card
CUST-000166,2022-10-22,retail,US,card
CUST-000167,2024-05-21,retail,IN,card
CUST-000168,2022-06-07,retail,CA,card
CUST-000169,2023-09-28,enterprise,IN,bank_transfer
CUST-000170,2022-12-05,smb,IN,card
CUST-000171,2023-07-04,enterprise,US,digital_wallet
CUST-000172,2021-04-18,smb,US,digital_wallet
CUST-000173,2023-05-17,retail,DE,digital_wallet
CUST-000174,2020-09-14,retail,US,bank_transfer
CUST-000175,2019-09-14,smb,DE,card
CUST-000176,2024-01-22,smb,IN,card
CUST-000177,2021-05-03,smb,US,digital_wallet
CUST-000178,2021-04-11,retail,US,card
CUST-000179,2023-01-11,retail,AU,card
CUST-000180,2019-09-08,retail,US,card
CUST-000181,2019-11-24,smb,CA,bank_transfer
CUST-000182,2021-10-15,retail,CA,card
CUST-000183,2023-12-13,smb,IN,card
CUST-000184,2021-04-05,retail,GB,card
CUST-000185,2020-07-26,smb,DE,card
CUST-000186,2022-05-18,retail,GB,card
CUST-000187,2021-11-21,retail,CA,card
CUST-000188,2021-11-09,retail,IN,card
CUST-000189,2022-11-10,smb,DE,card
CUST-000190,2023-01-16,smb,IN,card
CUST-000191,2022-11-15,retail,GB,card
CUST-000192,2022-02-22,retail,IN,card
CUST-000193,2023-05-01,smb,IN,digital_wallet
CUST-000194,2024-04-12,enterprise,US,card
CUST-000195,2023-06-17,smb,US,card
CUST-000196,2023-08-23,retail,CA,bank_transfer
CUST-000197,2021-12-23,retail,US,card
CUST-000198,2024-06-25,enterprise,GB,digital_wallet
CUST-000199,2019-07-03,smb,US,bank_transfer
CUST-000200,2024-03-27,enterprise,AU,card
CUST-000201,2019-08-08,enterprise,US,card
CUST-000202,2020-07-12,retail,US,card
CUST-000203,2022-03-08,smb,US,card
CUST-000204,2019-07-15,retail,US,card
CUST-000205,2020-09-10,retail,DE,card
CUST-000206,2022-11-06,retail,CA,bank_transfer
CUST-000207,2020-03-24,enterprise,GB,card
CUST-000208,2023-07-01,smb,US,card
CUST-000209,2019-05-07,smb,CA,card
CUST-000210,2023-01-08,retail,US,card
CUST-000211,2021-08-04,smb,US,card
CUST-000212,2019-05-04,enterprise,US,digital_wallet
CUST-000213,2022-08-15,enterprise,US,digital_wallet
CUST-000214,2023-09-06,retail,US,card
CUST-000215,2024-04-03,smb,IN,card
CUST-000216,2021-07-03,retail,IN,card
CUST-000217,2019-04-26,retail,AU,card
CUST-000218,2020-04-30,retail,US,bank_transfer
CUST-000219,2024-06-14,retail,DE,card
CUST-000220,2022-01-06,retail,IN,card
CUST-000221,2022-02-15,retail,US,card
CUST-000222,2023-08-26,retail,US,bank_transfer
CUST-000223,2023-11-16,enterprise,US,digital_wallet
CUST-000224,2024-02-16,retail,DE,card
CUST-000225,2021-01-05,retail,US,digital_wallet
CUST-000226,2020-02-21,retail,GB,card
CUST-000227,2020-11-06,retail,DE,card
CUST-000228,2021-08-01,retail,IN,card
CUST-000229,2019-05-01,retail,IN,card
CUST-000230,2020-03-23,retail,US,card
CUST-000231,2022-02-03,retail,US,bank_transfer
CUST-000232,2024-04-08,enterprise,US,card
CUST-000233,2021-04-11,retail,US,bank_transfer
CUST-000234,2022-07-28,retail,US,card
CUST-000235,2020-03-08,enterprise,IN,card
CUST-000236,2022-09-09,retail,CA,card
CUST-000237,2019-06-07,retail,DE,card
CUST-000238,2023-06-07,enterprise,IN,card
CUST-000239,2023-04-24,smb,DE,digital_wallet
CUST-000240,2022-02-06,enterprise,GB,bank_transfer
CUST-000241,2019-06-18,retail,US,digital_wallet
CUST-000242,2021-06-29,retail,US,card
CUST-000243,2020-12-25,retail,DE,digital_wallet
CUST-000244,2022-02-19,enterprise,AU,card
CUST-000245,2019-05-10,retail,US,card
CUST-000246,2022-06-16,retail,US,card
CUST-000247,2020-11-16,retail,IN,bank_transfer
CUST-000248,2019-12-30,enterprise,AU,card
CUST-000249,2023-07-31,smb,US,digital_wallet
CUST-000250,2023-08-30,smb,IN,digital_wallet
CUST-000251,2023-01-04,retail,US,card
CUST-000252,2024-06-06,retail,CA,card
CUST-000253,2022-08-18,smb,DE,card
CUST-000254,2022-11-09,retail,GB,card
CUST-000255,2019-08-03,retail,CA,card
CUST-000256,2021-12-03,retail,GB,card
CUST-000257,2022-10-18,smb,CA,bank_transfer
CUST-000258,2023-06-22,retail,US,card
CUST-000259,2021-03-07,retail,US,card
CUST-000260,2021-01-19,retail,GB,card
CUST-000261,2022-04-17,retail,US,card
CUST-000262,2020-05-03,retail,US,bank_transfer
CUST-000263,2022-07-25,retail,CA,digital_wallet
CUST-000264,2022-06-22,retail,US,card
CUST-000265,2022-11-03,retail,IN,card
CUST-000266,2023-05-18,retail,IN,digital_wallet
CUST-000267,2021-01-21,retail,IN,digital_wallet
CUST-000268,2020-05-21,retail,AU,card
CUST-000269,2022-04-19,smb,CA,card
CUST-000270,2022-03-13,retail,US,card
CUST-000271,2024-01-18,smb,US,digital_wallet
CUST-000272,2023-04-09,smb,US,card
CUST-000273,2023-04-24,retail,GB,card
CUST-000274,2023-02-05,enterprise,DE,bank_transfer
CUST-000275,2020-08-03,retail,DE,card
CUST-000276,2019-09-12,enterprise,US,card
CUST-000277,2020-09-10,retail,CA,card
CUST-000278,2022-12-03,smb,GB,card
CUST-000279,2021-06-30,retail,IN,digital_wallet
CUST-000280,2023-02-05,smb,US,card
CUST-000281,2019-12-03,retail,IN,card
CUST-000282,2022-04-22,smb,US,card
CUST-000283,2023-01-16,smb,IN,bank_transfer
CUST-000284,2023-03-12,retail,DE,digital_wallet
CUST-000285,2019-05-26,retail,AU,digital_wallet
CUST-000286,2022-10-30,retail,GB,digital_wallet
CUST-000287,2024-04-26,smb,GB,card
CUST-000288,2022-06-15,retail,US,card
CUST-000289,2022-08-10,retail,IN,bank_transfer
CUST-000290,2023-02-27,smb,US,card
CUST-000291,2023-08-12,smb,US,card
CUST-000292,2022-03-26,smb,GB,card
CUST-000293,2019-01-06,retail,CA,card
CUST-000294,2023-02-25,smb,US,card
CUST-000295,2022-10-10,enterprise,US,digital_wallet
CUST-000296,2022-02-06,retail,US,card
CUST-000297,2023-05-02,smb,IN,card
CUST-000298,2022-07-26,smb,CA,digital_wallet
CUST-000299,2021-10-04,enterprise,AU,card
CUST-000300,2021-11-01,retail,IN,card
CUST-000301,2020-10-07,enterprise,US,digital_wallet
CUST-000302,2020-10-05,retail,GB,digital_wallet
CUST-000303,2022-11-06,retail,IN,card
CUST-000304,2020-09-04,retail,AU,card
CUST-000305,2023-07-05,smb,US,card
CUST-000306,2024-04-04,smb,DE,card
CUST-000307,2019-12-11,enterprise,GB,bank_transfer
CUST-000308,2020-07-17,retail,CA,card
CUST-000309,2019-05-05,retail,US,card
CUST-000310,2022-12-31,retail,GB,card
CUST-000311,2020-03-24,retail,IN,card
CUST-000312,2019-11-23,retail,IN,card
CUST-000313,2023-09-28,retail,US,card
CUST-000314,2022-03-08,retail,DE,card
CUST-000315,2020-03-24,retail,GB,card
CUST-000316,2023-11-14,retail,US,card
CUST-000317,2021-02-04,smb,IN,card
CUST-000318,2022-08-02,enterprise,DE,card
CUST-000319,2022-04-21,smb,US,bank_transfer
CUST-000320,2022-03-08,retail,DE,digital_wallet
CUST-000321,2020-10-16,retail,CA,card
CUST-000322,2020-05-26,smb,US,digital_wallet
CUST-000323,2021-04-27,retail,US,card
CUST-000324,2019-11-30,retail,IN,card
CUST-000325,2019-11-26,smb,GB,digital_wallet
CUST-000326,2024-04-14,smb,DE,card
CUST-000327,2024-03-10,smb,US,card
CUST-000328,2020-08-26,smb,DE,card
CUST-000329,2021-08-22,retail,IN,card
CUST-000330,2020-06-23,retail,US,digital_wallet
CUST-000331,2023-07-14,retail,AU,card
CUST-000332,2023-11-11,enterprise,DE,card
CUST-000333,2021-11-24,smb,IN,card
CUST-000334,2021-06-10,retail,IN,card
CUST-000335,2023-10-21,retail,GB,digital_wallet
CUST-000336,2019-10-31,retail,DE,digital_wallet
CUST-000337,2023-12-08,retail,GB,card
CUST-000338,2022-05-31,smb,GB,card
CUST-000339,2023-06-14,retail,US,card
CUST-000340,2021-06-26,smb,US,bank_transfer
CUST-000341,2021-02-04,smb,GB,card
CUST-000342,2019-03-01,retail,CA,card
CUST-000343,2021-03-23,smb,US,card
CUST-000344,2024-01-06,retail,IN,card
CUST-000345,2020-02-28,retail,GB,card
CUST-000346,2022-08-09,retail,CA,digital_wallet
CUST-000347,2022-04-12,retail,GB,bank_transfer
CUST-000348,2019-08-10,retail,US,card
CUST-000349,2020-05-07,smb,IN,digital_wallet
CUST-000350,2020-08-28,retail,GB,card
CUST-000351,2020-03-31,smb,DE,card
CUST-000352,2022-02-17,retail,US,card
CUST-000353,2020-11-18,smb,US,card
CUST-000354,2021-08-07,smb,GB,digital_wallet
CUST-000355,2023-10-16,retail,AU,card
CUST-000356,2020-01-05,smb,GB,card
CUST-000357,2021-09-29,smb,IN,card
CUST-000358,2021-12-29,retail,US,card
CUST-000359,2020-12-06,retail,US,card
CUST-000360,2019-10-02,retail,CA,card
CUST-000361,2023-01-29,enterprise,US,card
CUST-000362,2022-08-04,retail,GB,card
CUST-000363,2021-05-03,retail,US,card
CUST-000364,2019-07-26,smb,US,card
CUST-000365,2020-02-11,smb,IN,digital_wallet
CUST-000366,2024-02-08,retail,CA,card
CUST-000367,2019-11-02,enterprise,IN,card
CUST-000368,2023-07-24,retail,US,card
CUST-000369,2019-04-04,retail,US,card
CUST-000370,2021-02-02,smb,US,card
CUST-000371,2022-08-21,smb,US,card
CUST-000372,2021-06-16,retail,US,card
CUST-000373,2020-06-19,smb,US,digital_wallet
CUST-000374,2023-11-24,retail,GB,bank_transfer
CUST-000375,2021-02-27,retail,IN,digital_wallet
CUST-000376,2021-10-12,smb,US,card
CUST-000377,2021-07-29,retail,DE,card
CUST-000378,2022-01-29,retail,US,card
CUST-000379,2024-04-30,retail,IN,digital_wallet
CUST-000380,2021-01-14,smb,US,digital_wallet
CUST-000381,2019-04-04,smb,GB,digital_wallet
CUST-000382,2023-10-12,retail,GB,digital_wallet
CUST-000383,2021-07-11,retail,DE,card
CUST-000384,2022-04-13,retail,GB,digital_wallet
CUST-000385,2022-05-14,smb,US,digital_wallet
CUST-000386,2020-12-03,enterprise,GB,card
CUST-000387,2023-10-29,retail,IN,card
CUST-000388,2019-09-29,enterprise,IN,digital_wallet
CUST-000389,2021-09-10,retail,CA,bank_transfer
CUST-000390,2019-04-26,retail,IN,card
CUST-000391,2023-03-24,retail,US,card
CUST-000392,2021-03-07,retail,IN,digital_wallet
CUST-000393,2024-06-21,smb,AU,card
CUST-000394,2022-12-24,smb,IN,card
CUST-000395,2022-10-30,retail,AU,bank_transfer
CUST-000396,2023-09-29,retail,US,bank_transfer
CUST-000397,2022-06-14,smb,US,digital_wallet
CUST-000398,2021-12-02,retail,GB,card
CUST-000399,2021-01-08,retail,AU,card
CUST-000400,2020-12-09,retail,CA,card
CUST-000401,2024-02-10,retail,IN,card
CUST-000402,2019-06-18,enterprise,US,digital_wallet
CUST-000403,2022-12-10,smb,IN,card
CUST-000404,2019-03-19,retail,US,digital_wallet
CUST-000405,2022-07-14,retail,US,card
CUST-000406,2019-04-04,smb,US,digital_wallet
CUST-000407,2021-06-15,retail,IN,card
CUST-000408,2020-08-27,enterprise,US,bank_transfer
CUST-000409,2022-02-07,smb,US,card
CUST-000410,2023-02-27,enterprise,US,card
CUST-000411,2020-02-02,retail,IN,card
CUST-000412,2019-05-30,retail,US,card
CUST-000413,2019-07-24,retail,US,card
CUST-000414,2022-03-06,retail,US,card
CUST-000415,2023-09-17,retail,IN,card
CUST-000416,2022-08-15,smb,IN,digital_wallet
CUST-000417,2022-04-06,retail,IN,card
CUST-000418,2019-11-01,retail,US,digital_wallet
CUST-000419,2021-10-25,retail,US,digital_wallet
CUST-000420,2022-03-05,enterprise,IN,digital_wallet
CUST-000421,2019-05-09,retail,US,bank_transfer
CUST-000422,2019-03-23,enterprise,US,bank_transfer
CUST-000423,2019-12-23,retail,US,card
CUST-000424,2020-12-07,retail,GB,card
CUST-000425,2020-03-09,retail,US,card
CUST-000426,2022-10-14,retail,US,card
CUST-000427,2022-03-18,retail,US,digital_wallet
CUST-000428,2023-01-30,smb,US,card
CUST-000429,2023-08-08,smb,DE,card
CUST-000430,2021-02-13,retail,US,card
CUST-000431,2021-09-01,enterprise,DE,digital_wallet
CUST-000432,2022-01-09,smb,CA,digital_wallet
CUST-000433,2020-04-14,enterprise,GB,digital_wallet
CUST-000434,2021-05-21,retail,GB,card
CUST-000435,2022-12-23,smb,US,card
CUST-000436,2019-08-07,retail,IN,card
CUST-000437,2023-03-27,retail,DE,card
CUST-000438,2019-10-10,smb,IN,bank_transfer
CUST-000439,2020-11-24,smb,DE,bank_transfer
CUST-000440,2021-08-23,enterprise,GB,card
CUST-000441,2022-12-28,enterprise,US,digital_wallet
CUST-000442,2021-11-27,retail,US,card
CUST-000443,2019-01-01,enterprise,US,card
CUST-000444,2022-01-30,retail,IN,digital_wallet
CUST-000445,2019-08-07,retail,GB,card
CUST-000446,2020-05-27,smb,AU,card
CUST-000447,2022-04-16,smb,GB,card
CUST-000448,2021-04-24,enterprise,GB,card
CUST-000449,2019-06-05,retail,US,card
CUST-000450,2020-01-25,retail,US,bank_transfer
CUST-000451,2019-11-16,smb,US,card
CUST-000452,2023-10-03,retail,DE,card
CUST-000453,2019-04-21,retail,GB,digital_wallet
CUST-000454,2019-09-04,smb,GB,bank_transfer
CUST-000455,2020-06-15,retail,US,card
CUST-000456,2023-03-21,retail,CA,card
CUST-000457,2020-07-06,smb,DE,digital_wallet
CUST-000458,2021-05-13,retail,AU,digital_wallet
CUST-000459,2022-03-08,retail,US,card
CUST-000460,2020-06-16,retail,DE,digital_wallet
CUST-000461,2022-08-22,retail,AU,card
CUST-000462,2022-06-10,retail,DE,card
CUST-000463,2023-10-05,enterprise,US,card
CUST-000464,2023-12-23,retail,CA,card
CUST-000465,2024-04-10,smb,IN,card
CUST-000466,2023-04-28,retail,IN,card
CUST-000467,2022-07-07,retail,GB,card
CUST-000468,2022-01-28,retail,AU,bank_transfer
CUST-000469,2021-12-08,smb,GB,digital_wallet
CUST-000470,2019-11-15,retail,US,digital_wallet
CUST-000471,2024-04-23,smb,US,digital_wallet
CUST-000472,2023-12-12,retail,US,card
CUST-000473,2020-05-05,retail,IN,card
CUST-000474,2020-01-21,smb,US,card
CUST-000475,2019-02-09,retail,AU,card
CUST-000476,2019-07-04,retail,GB,card
CUST-000477,2020-11-07,retail,IN,card
CUST-000478,2020-05-27,smb,IN,card
CUST-000479,2019-03-10,retail,IN,card
CUST-000480,2023-03-06,enterprise,GB,card
CUST-000481,2020-10-26,retail,IN,card
CUST-000482,2022-11-10,retail,US,card
CUST-000483,2022-07-04,retail,US,card
CUST-000484,2022-08-13,smb,IN,card
CUST-000485,2021-09-20,smb,DE,card
CUST-000486,2023-11-12,smb,CA,card
CUST-000487,2019-01-02,smb,GB,bank_transfer
CUST-000488,2019-05-10,smb,GB,card
CUST-000489,2022-08-05,retail,US,bank_transfer
CUST-000490,2021-09-30,retail,IN,card
CUST-000491,2019-06-13,retail,DE,card
CUST-000492,2023-02-12,retail,US,digital_wallet
CUST-000493,2021-12-13,smb,DE,digital_wallet
CUST-000494,2022-10-13,retail,IN,digital_wallet
CUST-000495,2022-05-13,retail,US,card
CUST-000496,2023-01-26,retail,US,card
CUST-000497,2024-05-19,retail,IN,digital_wallet
CUST-000498,2020-03-30,retail,US,digital_wallet
CUST-000499,2022-03-16,retail,US,card
CUST-000500,2019-07-08,retail,DE,card
CUST-000501,2022-12-10,retail,CA,card
CUST-000502,2023-08-01,retail,CA,card
CUST-000503,2021-12-09,retail,GB,card
CUST-000504,2021-07-01,smb,DE,card
CUST-000505,2023-03-07,retail,US,card
CUST-000506,2021-09-26,retail,DE,card
CUST-000507,2022-11-03,enterprise,US,bank_transfer
CUST-000508,2020-09-16,retail,US,digital_wallet
CUST-000509,2023-01-31,smb,US,card
CUST-000510,2020-02-22,retail,IN,card
CUST-000511,2020-02-16,smb,DE,card
CUST-000512,2019-02-09,retail,CA,card
CUST-000513,2020-02-12,retail,GB,digital_wallet
CUST-000514,2019-11-18,retail,IN,card
CUST-000515,2023-07-27,enterprise,CA,digital_wallet
CUST-000516,2021-12-02,enterprise,DE,card
CUST-000517,2020-02-28,smb,DE,bank_transfer
CUST-000518,2021-05-30,enterprise,AU,card
CUST-000519,2023-12-07,retail,US,card
CUST-000520,2019-11-08,smb,US,card
CUST-000521,2020-04-20,retail,US,card
CUST-000522,2020-01-12,smb,GB,card
CUST-000523,2021-04-25,retail,IN,card
CUST-000524,2022-11-09,retail,GB,card
CUST-000525,2022-06-06,enterprise,DE,card
CUST-000526,2020-05-18,retail,US,bank_transfer
CUST-000527,2021-03-26,smb,IN,card
CUST-000528,2021-08-07,smb,GB,bank_transfer
CUST-000529,2021-04-26,retail,US,card
CUST-000530,2022-08-21,enterprise,IN,bank_transfer
CUST-000531,2021-02-25,smb,AU,card
CUST-000532,2023-11-20,smb,US,digital_wallet
CUST-000533,2021-07-02,retail,US,digital_wallet
CUST-000534,2021-10-18,retail,US,digital_wallet
CUST-000535,2022-05-14,retail,CA,card
CUST-000536,2020-12-15,retail,CA,bank_transfer
CUST-000537,2020-01-01,retail,US,bank_transfer
CUST-000538,2023-04-23,retail,US,card
CUST-000539,2022-11-23,smb,US,card
CUST-000540,2021-12-19,enterprise,GB,bank_transfer
CUST-000541,2020-12-25,enterprise,DE,card
CUST-000542,2019-08-31,retail,DE,card
CUST-000543,2022-02-21,smb,US,card
CUST-000544,2023-04-20,retail,IN,card
CUST-000545,2020-11-23,enterprise,GB,card
CUST-000546,2024-01-09,retail,IN,card
CUST-000547,2022-11-04,retail,CA,digital_wallet
CUST-000548,2021-12-30,smb,DE,card
CUST-000549,2019-03-06,retail,US,digital_wallet
CUST-000550,2021-02-05,smb,IN,digital_wallet
CUST-000551,2024-03-06,retail,CA,card
CUST-000552,2023-10-03,retail,US,card
CUST-000553,2020-10-01,smb,US,card
CUST-000554,2019-11-19,retail,US,card
CUST-000555,2022-12-13,smb,DE,card
CUST-000556,2021-03-13,retail,DE,card
CUST-000557,2022-12-31,smb,IN,card
CUST-000558,2022-12-01,retail,GB,bank_transfer
CUST-000559,2022-06-17,retail,US,card
CUST-000560,2019-05-14,retail,US,card
CUST-000561,2023-08-02,smb,US,card
CUST-000562,2020-05-14,retail,AU,card
CUST-000563,2023-06-01,retail,IN,card
CUST-000564,2019-07-19,smb,US,digital_wallet
CUST-000565,2021-10-09,smb,US,card
CUST-000566,2022-09-15,retail,GB,card
CUST-000567,2024-02-14,smb,CA,digital_wallet
CUST-000568,2021-11-11,retail,US,card
CUST-000569,2021-01-05,retail,US,card
CUST-000570,2021-06-10,retail,IN,card
CUST-000571,2019-02-02,retail,CA,bank_transfer
CUST-000572,2024-01-05,smb,DE,card
CUST-000573,2020-01-16,retail,US,card
CUST-000574,2022-04-03,retail,IN,card
CUST-000575,2019-07-01,retail,DE,bank_transfer
CUST-000576,2024-01-25,retail,IN,card
CUST-000577,2023-06-23,retail,US,bank_transfer
CUST-000578,2022-03-30,retail,US,digital_wallet
CUST-000579,2023-10-10,smb,US,card
CUST-000580,2023-02-22,retail,GB,digital_wallet
CUST-000581,2020-12-03,enterprise,AU,card
CUST-000582,2022-09-15,retail,DE,card
CUST-000583,2020-09-09,retail,CA,digital_wallet
CUST-000584,2021-06-09,retail,CA,card
CUST-000585,2021-06-03,smb,IN,card
CUST-000586,2022-10-14,smb,IN,card
CUST-000587,2022-10-09,retail,US,card
CUST-000588,2019-03-11,retail,US,digital_wallet
CUST-000589,2019-09-03,retail,DE,card
CUST-000590,2020-01-13,retail,GB,digital_wallet
CUST-000591,2019-11-28,smb,US,card
CUST-000592,2020-02-15,smb,US,card
CUST-000593,2023-01-05,retail,US,card
