failure_id,attempt_id,transaction_id,customer_id,failed_at,failure_reason,processor_response_code
FAIL-0000031,ATT-0000218,TXN-0000198,CUST-000040,2022-11-10T11:28:00,temporary_network_error,91
FAIL-0000032,ATT-0000219,TXN-0000198,CUST-000040,2022-11-13T11:28:00,temporary_network_error,91
FAIL-0000033,ATT-0000222,TXN-0000201,CUST-000041,2022-09-25T10:04:00,temporary_network_error,91
FAIL-0000034,ATT-0000223,TXN-0000201,CUST-000041,2022-09-26T10:04:00,temporary_network_error,91
FAIL-0000035,ATT-0000226,TXN-0000203,CUST-000041,2022-12-15T09:18:00,temporary_network_error,91
FAIL-0000036,ATT-0000249,TXN-0000226,CUST-000047,2019-03-10T15:58:00,insufficient_funds,51
FAIL-0000037,ATT-0000250,TXN-0000226,CUST-000047,2019-03-11T15:58:00,insufficient_funds,51
FAIL-0000038,ATT-0000251,TXN-0000226,CUST-000047,2019-03-14T15:58:00,insufficient_funds,51
FAIL-0000039,ATT-0000255,TXN-0000230,CUST-000048,2021-04-07T10:35:00,insufficient_funds,51
FAIL-0000040,ATT-0000257,TXN-0000231,CUST-000049,2020-01-29T07:50:00,expired_card,54
FAIL-0000041,ATT-0000258,TXN-0000231,CUST-000049,2020-01-31T07:50:00,expired_card,54
FAIL-0000042,ATT-0000260,TXN-0000232,CUST-000049,2020-03-20T07:54:00,invalid_payment_method,14
FAIL-0000043,ATT-0000261,TXN-0000232,CUST-000049,2020-03-23T07:54:00,invalid_payment_method,14
FAIL-0000044,ATT-0000263,TXN-0000234,CUST-000050,2020-11-28T22:08:00,risk_review_hold,57
FAIL-0000045,ATT-0000279,TXN-0000250,CUST-000053,2023-06-01T08:35:00,insufficient_funds,51
FAIL-0000046,ATT-0000280,TXN-0000250,CUST-000053,2023-06-03T08:35:00,insufficient_funds,51
FAIL-0000047,ATT-0000281,TXN-0000250,CUST-000053,2023-06-12T08:35:00,insufficient_funds,51
FAIL-0000048,ATT-0000289,TXN-0000258,CUST-000055,2022-08-22T18:27:00,insufficient_funds,51
FAIL-0000049,ATT-0000290,TXN-0000258,CUST-000055,2022-08-25T18:27:00,insufficient_funds,51
FAIL-0000050,ATT-0000291,TXN-0000258,CUST-000055,2022-08-29T18:27:00,insufficient_funds,51
FAIL-0000051,ATT-0000318,TXN-0000285,CUST-000062,2023-03-12T15:40:00,insufficient_funds,51
FAIL-0000052,ATT-0000319,TXN-0000285,CUST-000062,2023-03-13T15:40:00,insufficient_funds,51
FAIL-0000053,ATT-0000320,TXN-0000285,CUST-000062,2023-03-23T15:40:00,insufficient_funds,51
FAIL-0000054,ATT-0000323,TXN-0000288,CUST-000062,2023-08-07T13:33:00,payment_method_limit_exceeded,61
FAIL-0000055,ATT-0000330,TXN-0000294,CUST-000064,2020-02-22T03:57:00,temporary_network_error,91
FAIL-0000056,ATT-0000331,TXN-0000294,CUST-000064,2020-02-25T03:57:00,temporary_network_error,91
FAIL-0000057,ATT-0000332,TXN-0000294,CUST-000064,2020-02-28T03:57:00,temporary_network_error,91
FAIL-0000058,ATT-0000340,TXN-0000302,CUST-000065,2021-01-07T18:02:00,expired_card,54
FAIL-0000059,ATT-0000341,TXN-0000302,CUST-000065,2021-01-08T18:02:00,expired_card,54
FAIL-0000060,ATT-0000347,TXN-0000308,CUST-000066,2021-04-10T12:21:00,insufficient_funds,51
FAIL-0000061,ATT-0000348,TXN-0000308,CUST-000066,2021-04-12T12:21:00,insufficient_funds,51
FAIL-0000062,ATT-0000349,TXN-0000308,CUST-000066,2021-04-19T12:21:00,insufficient_funds,51
FAIL-0000063,ATT-0000353,TXN-0000312,CUST-000066,2021-12-17T12:10:00,expired_card,54
FAIL-0000064,ATT-0000354,TXN-0000312,CUST-000066,2021-12-20T12:10:00,expired_card,54
FAIL-0000065,ATT-0000355,TXN-0000313,CUST-000067,2020-09-01T13:44:00,expired_card,54
FAIL-0000066,ATT-0000356,TXN-0000313,CUST-000067,2020-09-04T13:44:00,expired_card,54
FAIL-0000067,ATT-0000361,TXN-0000317,CUST-000068,2023-01-03T12:10:00,invalid_payment_method,14
FAIL-0000068,ATT-0000362,TXN-0000317,CUST-000068,2023-01-04T12:10:00,invalid_payment_method,14
FAIL-0000069,ATT-0000378,TXN-0000333,CUST-000070,2021-05-14T15:54:00,insufficient_funds,51
FAIL-0000070,ATT-0000379,TXN-0000333,CUST-000070,2021-05-16T15:54:00,insufficient_funds,51
FAIL-0000071,ATT-0000380,TXN-0000333,CUST-000070,2021-05-19T15:54:00,insufficient_funds,51
FAIL-0000072,ATT-0000394,TXN-0000347,CUST-000073,2020-09-30T14:43:00,insufficient_funds,51
FAIL-0000073,ATT-0000398,TXN-0000351,CUST-000074,2020-01-28T17:33:00,insufficient_funds,51
FAIL-0000074,ATT-0000399,TXN-0000351,CUST-000074,2020-01-30T17:33:00,insufficient_funds,51
FAIL-0000075,ATT-0000400,TXN-0000351,CUST-000074,2020-02-08T17:33:00,insufficient_funds,51
FAIL-0000076,ATT-0000407,TXN-0000358,CUST-000076,2024-07-01T00:08:00,temporary_network_error,91
FAIL-0000077,ATT-0000408,TXN-0000358,CUST-000076,2024-07-03T00:08:00,temporary_network_error,91
FAIL-0000078,ATT-0000414,TXN-0000363,CUST-000076,2025-06-14T21:40:00,invalid_payment_method,14
FAIL-0000079,ATT-0000415,TXN-0000363,CUST-000076,2025-06-17T21:40:00,invalid_payment_method,14
FAIL-0000080,ATT-0000417,TXN-0000365,CUST-000077,2019-05-16T10:57:00,insufficient_funds,51
FAIL-0000081,ATT-0000422,TXN-0000369,CUST-000078,2024-05-18T14:12:00,insufficient_funds,51
FAIL-0000082,ATT-0000437,TXN-0000383,CUST-000081,2024-01-04T10:44:00,insufficient_funds,51
FAIL-0000083,ATT-0000452,TXN-0000397,CUST-000084,2023-12-31T14:01:00,temporary_network_error,91
FAIL-0000084,ATT-0000453,TXN-0000397,CUST-000084,2024-01-03T14:01:00,temporary_network_error,91
FAIL-0000085,ATT-0000454,TXN-0000397,CUST-000084,2024-01-13T14:01:00,temporary_network_error,91
FAIL-0000086,ATT-0000468,TXN-0000411,CUST-000088,2020-03-04T22:42:00,insufficient_funds,51
FAIL-0000087,ATT-0000469,TXN-0000411,CUST-000088,2020-03-07T22:42:00,insufficient_funds,51
FAIL-0000088,ATT-0000496,TXN-0000437,CUST-000094,2020-09-30T12:12:00,risk_review_hold,57
FAIL-0000089,ATT-0000497,TXN-0000438,CUST-000094,2020-10-28T14:53:00,payment_method_limit_exceeded,61
FAIL-0000090,ATT-0000498,TXN-0000438,CUST-000094,2020-10-29T14:53:00,payment_method_limit_exceeded,61
FAIL-0000091,ATT-0000499,TXN-0000438,CUST-000094,2020-11-06T14:53:00,payment_method_limit_exceeded,61
FAIL-0000092,ATT-0000500,TXN-0000439,CUST-000094,2021-01-08T14:33:00,invalid_payment_method,14
FAIL-0000093,ATT-0000501,TXN-0000439,CUST-000094,2021-01-09T14:33:00,invalid_payment_method,14
FAIL-0000094,ATT-0000514,TXN-0000452,CUST-000097,2020-01-16T19:03:00,invalid_payment_method,14
FAIL-0000095,ATT-0000515,TXN-0000452,CUST-000097,2020-01-18T19:03:00,invalid_payment_method,14
FAIL-0000096,ATT-0000527,TXN-0000463,CUST-000099,2020-09-09T18:56:00,temporary_network_error,91
FAIL-0000097,ATT-0000542,TXN-0000478,CUST-000102,2019-08-21T00:18:00,expired_card,54
FAIL-0000098,ATT-0000543,TXN-0000478,CUST-000102,2019-08-23T00:18:00,expired_card,54
FAIL-0000099,ATT-0000558,TXN-0000493,CUST-000107,2022-12-23T06:46:00,insufficient_funds,51
FAIL-0000100,ATT-0000559,TXN-0000493,CUST-000107,2022-12-26T06:46:00,insufficient_funds,51
FAIL-0000101,ATT-0000560,TXN-0000493,CUST-000107,2023-01-05T06:46:00,insufficient_funds,51
FAIL-0000102,ATT-0000571,TXN-0000504,CUST-000109,2022-10-25T06:02:00,insufficient_funds,51
FAIL-0000103,ATT-0000572,TXN-0000504,CUST-000109,2022-10-26T06:02:00,insufficient_funds,51
FAIL-0000104,ATT-0000573,TXN-0000504,CUST-000109,2022-11-01T06:02:00,insufficient_funds,51
FAIL-0000105,ATT-0000584,TXN-0000515,CUST-000110,2025-03-18T21:34:00,temporary_network_error,91
FAIL-0000106,ATT-0000585,TXN-0000515,CUST-000110,2025-03-20T21:34:00,temporary_network_error,91
FAIL-0000107,ATT-0000586,TXN-0000515,CUST-000110,2025-03-26T21:34:00,temporary_network_error,91
FAIL-0000108,ATT-0000615,TXN-0000544,CUST-000118,2022-04-03T21:39:00,temporary_network_error,91
FAIL-0000109,ATT-0000616,TXN-0000544,CUST-000118,2022-04-06T21:39:00,temporary_network_error,91
FAIL-0000110,ATT-0000617,TXN-0000544,CUST-000118,2022-04-15T21:39:00,temporary_network_error,91
FAIL-0000111,ATT-0000630,TXN-0000557,CUST-000121,2022-09-30T07:05:00,insufficient_funds,51
FAIL-0000112,ATT-0000631,TXN-0000557,CUST-000121,2022-10-02T07:05:00,insufficient_funds,51
FAIL-0000113,ATT-0000646,TXN-0000571,CUST-000124,2019-04-17T04:45:00,temporary_network_error,91
FAIL-0000114,ATT-0000647,TXN-0000571,CUST-000124,2019-04-19T04:45:00,temporary_network_error,91
FAIL-0000115,ATT-0000648,TXN-0000571,CUST-000124,2019-04-23T04:45:00,temporary_network_error,91
FAIL-0000116,ATT-0000679,TXN-0000602,CUST-000131,2019-11-30T16:19:00,insufficient_funds,51
FAIL-0000117,ATT-0000680,TXN-0000602,CUST-000131,2019-12-03T16:19:00,insufficient_funds,51
FAIL-0000118,ATT-0000681,TXN-0000602,CUST-000131,2019-12-10T16:19:00,insufficient_funds,51
FAIL-0000119,ATT-0000695,TXN-0000616,CUST-000133,2023-01-12T19:29:00,invalid_payment_method,14
FAIL-0000120,ATT-0000696,TXN-0000616,CUST-000133,2023-01-14T19:29:00,invalid_payment_method,14
FAIL-0000121,ATT-0000713,TXN-0000633,CUST-000137,2021-09-19T07:28:00,insufficient_funds,51
FAIL-0000122,ATT-0000726,TXN-0000645,CUST-000139,2021-07-29T14:21:00,insufficient_funds,51
FAIL-0000123,ATT-0000727,TXN-0000645,CUST-000139,2021-07-31T14:21:00,insufficient_funds,51
FAIL-0000124,ATT-0000728,TXN-0000645,CUST-000139,2021-08-07T14:21:00,insufficient_funds,51
FAIL-0000125,ATT-0000736,TXN-0000653,CUST-000141,2019-11-05T15:01:00,temporary_network_error,91
FAIL-0000126,ATT-0000737,TXN-0000653,CUST-000141,2019-11-07T15:01:00,temporary_network_error,91
FAIL-0000127,ATT-0000738,TXN-0000653,CUST-000141,2019-11-16T15:01:00,temporary_network_error,91
FAIL-0000128,ATT-0000740,TXN-0000655,CUST-000141,2019-12-22T15:47:00,temporary_network_error,91
FAIL-0000129,ATT-0000741,TXN-0000655,CUST-000141,2019-12-24T15:47:00,temporary_network_error,91
FAIL-0000130,ATT-0000742,TXN-0000655,CUST-000141,2020-01-03T15:47:00,temporary_network_error,91
FAIL-0000131,ATT-0000744,TXN-0000657,CUST-000142,2021-02-26T18:45:00,insufficient_funds,51
FAIL-0000132,ATT-0000756,TXN-0000669,CUST-000144,2024-05-20T16:24:00,temporary_network_error,91
FAIL-0000133,ATT-0000774,TXN-0000686,CUST-000147,2023-08-12T17:05:00,temporary_network_error,91
FAIL-0000134,ATT-0000775,TXN-0000686,CUST-000147,2023-08-14T17:05:00,temporary_network_error,91
FAIL-0000135,ATT-0000780,TXN-0000690,CUST-000148,2022-07-16T06:12:00,temporary_network_error,91
FAIL-0000136,ATT-0000784,TXN-0000693,CUST-000149,2020-03-14T04:23:00,temporary_network_error,91
FAIL-0000137,ATT-0000785,TXN-0000693,CUST-000149,2020-03-17T04:23:00,temporary_network_error,91
FAIL-0000138,ATT-0000789,TXN-0000696,CUST-000150,2019-08-17T14:17:00,payment_method_limit_exceeded,61
FAIL-0000139,ATT-0000810,TXN-0000716,CUST-000154,2020-06-02T04:37:00,insufficient_funds,51
FAIL-0000140,ATT-0000822,TXN-0000727,CUST-000156,2021-03-24T16:05:00,temporary_network_error,91
FAIL-0000141,ATT-0000829,TXN-0000733,CUST-000157,2021-10-13T15:14:00,payment_method_limit_exceeded,61
FAIL-0000142,ATT-0000830,TXN-0000733,CUST-000157,2021-10-15T15:14:00,payment_method_limit_exceeded,61
FAIL-0000143,ATT-0000831,TXN-0000733,CUST-000157,2021-10-25T15:14:00,payment_method_limit_exceeded,61
FAIL-0000144,ATT-0000835,TXN-0000737,CUST-000158,2021-03-24T18:09:00,expired_card,54
FAIL-0000145,ATT-0000836,TXN-0000737,CUST-000158,2021-03-25T18:09:00,expired_card,54
FAIL-0000146,ATT-0000845,TXN-0000746,CUST-000160,2020-09-06T08:58:00,bank_unavailable,96
FAIL-0000147,ATT-0000846,TXN-0000746,CUST-000160,2020-09-09T08:58:00,bank_unavailable,96
FAIL-0000148,ATT-0000847,TXN-0000746,CUST-000160,2020-09-19T08:58:00,bank_unavailable,96
FAIL-0000149,ATT-0000857,TXN-0000756,CUST-000163,2021-12-22T09:52:00,temporary_network_error,91
FAIL-0000150,ATT-0000858,TXN-0000756,CUST-000163,2021-12-25T09:52:00,temporary_network_error,91
FAIL-0000151,ATT-0000859,TXN-0000756,CUST-000163,2021-12-31T09:52:00,temporary_network_error,91
FAIL-0000152,ATT-0000871,TXN-0000768,CUST-000165,2023-06-30T22:32:00,temporary_network_error,91
FAIL-0000153,ATT-0000872,TXN-0000768,CUST-000165,2023-07-02T22:32:00,temporary_network_error,91
FAIL-0000154,ATT-0000873,TXN-0000768,CUST-000165,2023-07-08T22:32:00,temporary_network_error,91
FAIL-0000155,ATT-0000907,TXN-0000802,CUST-000173,2023-09-30T23:42:00,payment_method_limit_exceeded,61
FAIL-0000156,ATT-0000908,TXN-0000802,CUST-000173,2023-10-03T23:42:00,payment_method_limit_exceeded,61
FAIL-0000157,ATT-0000909,TXN-0000802,CUST-000173,2023-10-09T23:42:00,payment_method_limit_exceeded,61
FAIL-0000158,ATT-0000927,TXN-0000820,CUST-000178,2022-01-03T13:50:00,temporary_network_error,91
FAIL-0000159,ATT-0000932,TXN-0000824,CUST-000179,2023-07-18T23:19:00,insufficient_funds,51
FAIL-0000160,ATT-0000933,TXN-0000824,CUST-000179,2023-07-19T23:19:00,insufficient_funds,51
FAIL-0000161,ATT-0000934,TXN-0000824,CUST-000179,2023-07-22T23:19:00,insufficient_funds,51
FAIL-0000162,ATT-0000945,TXN-0000835,CUST-000182,2022-01-23T22:36:00,expired_card,54
FAIL-0000163,ATT-0000946,TXN-0000835,CUST-000182,2022-01-26T22:36:00,expired_card,54
FAIL-0000164,ATT-0000966,TXN-0000855,CUST-000187,2022-04-02T08:59:00,temporary_network_error,91
FAIL-0000165,ATT-0000984,TXN-0000872,CUST-000191,2023-04-05T10:06:00,bank_unavailable,96
FAIL-0000166,ATT-0000999,TXN-0000886,CUST-000196,2023-09-22T21:51:00,insufficient_funds,51
FAIL-0000167,ATT-0001000,TXN-0000886,CUST-000196,2023-09-23T21:51:00,insufficient_funds,51
FAIL-0000168,ATT-0001017,TXN-0000902,CUST-000198,2024-12-10T07:04:00,invalid_payment_method,14
FAIL-0000169,ATT-0001018,TXN-0000903,CUST-000198,2025-02-24T07:38:00,expired_card,54
FAIL-0000170,ATT-0001019,TXN-0000903,CUST-000198,2025-02-27T07:38:00,expired_card,54
FAIL-0000171,ATT-0001062,TXN-0000946,CUST-000207,2020-07-20T05:09:00,payment_method_limit_exceeded,61
FAIL-0000172,ATT-0001091,TXN-0000975,CUST-000214,2024-04-19T17:49:00,bank_unavailable,96
FAIL-0000173,ATT-0001109,TXN-0000992,CUST-000217,2019-12-16T10:08:00,invalid_payment_method,14
FAIL-0000174,ATT-0001110,TXN-0000992,CUST-000217,2019-12-19T10:08:00,invalid_payment_method,14
FAIL-0000175,ATT-0001125,TXN-0001007,CUST-000219,2025-04-30T21:17:00,temporary_network_error,91
FAIL-0000176,ATT-0001127,TXN-0001008,CUST-000220,2022-01-10T12:01:00,insufficient_funds,51
FAIL-0000177,ATT-0001128,TXN-0001008,CUST-000220,2022-01-13T12:01:00,insufficient_funds,51
FAIL-0000178,ATT-0001129,TXN-0001008,CUST-000220,2022-01-21T12:01:00,insufficient_funds,51
FAIL-0000179,ATT-0001134,TXN-0001013,CUST-000222,2024-01-17T20:51:00,insufficient_funds,51
FAIL-0000180,ATT-0001135,TXN-0001013,CUST-000222,2024-01-19T20:51:00,insufficient_funds,51
FAIL-0000181,ATT-0001167,TXN-0001044,CUST-000231,2022-02-25T08:42:00,insufficient_funds,51
FAIL-0000182,ATT-0001168,TXN-0001044,CUST-000231,2022-02-28T08:42:00,insufficient_funds,51
FAIL-0000183,ATT-0001169,TXN-0001044,CUST-000231,2022-03-10T08:42:00,insufficient_funds,51
FAIL-0000184,ATT-0001197,TXN-0001072,CUST-000236,2023-02-15T20:05:00,bank_unavailable,96
FAIL-0000185,ATT-0001198,TXN-0001072,CUST-000236,2023-02-18T20:05:00,bank_unavailable,96
FAIL-0000186,ATT-0001199,TXN-0001072,CUST-000236,2023-02-26T20:05:00,bank_unavailable,96
FAIL-0000187,ATT-0001200,TXN-0001073,CUST-000237,2019-06-10T08:56:00,insufficient_funds,51
FAIL-0000188,ATT-0001201,TXN-0001073,CUST-000237,2019-06-11T08:56:00,insufficient_funds,51
FAIL-0000189,ATT-0001202,TXN-0001073,CUST-000237,2019-06-16T08:56:00,insufficient_funds,51
FAIL-0000190,ATT-0001203,TXN-0001074,CUST-000237,2019-08-21T09:44:00,temporary_network_error,91
FAIL-0000191,ATT-0001233,TXN-0001103,CUST-000243,2021-05-16T18:00:00,payment_method_limit_exceeded,61
FAIL-0000192,ATT-0001242,TXN-0001111,CUST-000245,2019-07-06T22:26:00,temporary_network_error,91
FAIL-0000193,ATT-0001243,TXN-0001111,CUST-000245,2019-07-09T22:26:00,temporary_network_error,91
FAIL-0000194,ATT-0001244,TXN-0001111,CUST-000245,2019-07-14T22:26:00,temporary_network_error,91
FAIL-0000195,ATT-0001248,TXN-0001115,CUST-000246,2022-08-23T08:39:00,insufficient_funds,51
FAIL-0000196,ATT-0001249,TXN-0001115,CUST-000246,2022-08-24T08:39:00,insufficient_funds,51
FAIL-0000197,ATT-0001250,TXN-0001115,CUST-000246,2022-09-01T08:39:00,insufficient_funds,51
FAIL-0000198,ATT-0001253,TXN-0001118,CUST-000246,2022-12-28T09:59:00,payment_method_limit_exceeded,61
FAIL-0000199,ATT-0001254,TXN-0001118,CUST-000246,2022-12-31T09:59:00,payment_method_limit_exceeded,61
FAIL-0000200,ATT-0001255,TXN-0001118,CUST-000246,2023-01-05T09:59:00,payment_method_limit_exceeded,61
FAIL-0000201,ATT-0001256,TXN-0001119,CUST-000246,2023-02-17T09:35:00,insufficient_funds,51
FAIL-0000202,ATT-0001257,TXN-0001119,CUST-000246,2023-02-18T09:35:00,insufficient_funds,51
FAIL-0000203,ATT-0001258,TXN-0001119,CUST-000246,2023-02-25T09:35:00,insufficient_funds,51
FAIL-0000204,ATT-0001260,TXN-0001121,CUST-000247,2021-01-15T18:34:00,expired_card,54
FAIL-0000205,ATT-0001261,TXN-0001121,CUST-000247,2021-01-17T18:34:00,expired_card,54
FAIL-0000206,ATT-0001293,TXN-0001153,CUST-000255,2020-04-06T11:29:00,expired_card,54
FAIL-0000207,ATT-0001294,TXN-0001153,CUST-000255,2020-04-07T11:29:00,expired_card,54
FAIL-0000208,ATT-0001295,TXN-0001154,CUST-000256,2021-12-05T15:27:00,insufficient_funds,51
FAIL-0000209,ATT-0001297,TXN-0001155,CUST-000256,2022-03-30T18:10:00,insufficient_funds,51
FAIL-0000210,ATT-0001298,TXN-0001155,CUST-000256,2022-03-31T18:10:00,insufficient_funds,51
FAIL-0000211,ATT-0001299,TXN-0001155,CUST-000256,2022-04-03T18:10:00,insufficient_funds,51
FAIL-0000212,ATT-0001311,TXN-0001167,CUST-000259,2022-01-05T18:09:00,insufficient_funds,51
FAIL-0000213,ATT-0001312,TXN-0001167,CUST-000259,2022-01-08T18:09:00,insufficient_funds,51
FAIL-0000214,ATT-0001313,TXN-0001167,CUST-000259,2022-01-11T18:09:00,insufficient_funds,51
FAIL-0000215,ATT-0001319,TXN-0001173,CUST-000260,2021-11-01T13:00:00,insufficient_funds,51
FAIL-0000216,ATT-0001320,TXN-0001173,CUST-000260,2021-11-02T13:00:00,insufficient_funds,51
FAIL-0000217,ATT-0001321,TXN-0001173,CUST-000260,2021-11-10T13:00:00,insufficient_funds,51
FAIL-0000218,ATT-0001326,TXN-0001178,CUST-000261,2022-10-10T14:53:00,insufficient_funds,51
FAIL-0000219,ATT-0001327,TXN-0001178,CUST-000261,2022-10-13T14:53:00,insufficient_funds,51
FAIL-0000220,ATT-0001328,TXN-0001178,CUST-000261,2022-10-21T14:53:00,insufficient_funds,51
FAIL-0000221,ATT-0001332,TXN-0001182,CUST-000262,2020-06-02T10:53:00,insufficient_funds,51
FAIL-0000222,ATT-0001333,TXN-0001182,CUST-000262,2020-06-03T10:53:00,insufficient_funds,51
FAIL-0000223,ATT-0001334,TXN-0001182,CUST-000262,2020-06-08T10:53:00,insufficient_funds,51
FAIL-0000224,ATT-0001348,TXN-0001195,CUST-000264,2022-12-26T12:16:00,temporary_network_error,91
FAIL-0000225,ATT-0001361,TXN-0001207,CUST-000266,2023-08-31T02:21:00,expired_card,54
FAIL-0000226,ATT-0001362,TXN-0001207,CUST-000266,2023-09-03T02:21:00,expired_card,54
FAIL-0000227,ATT-0001387,TXN-0001232,CUST-000273,2023-05-21T08:00:00,payment_method_limit_exceeded,61
FAIL-0000228,ATT-0001388,TXN-0001232,CUST-000273,2023-05-24T08:00:00,payment_method_limit_exceeded,61
FAIL-0000229,ATT-0001389,TXN-0001232,CUST-000273,2023-05-29T08:00:00,payment_method_limit_exceeded,61
FAIL-0000230,ATT-0001392,TXN-0001235,CUST-000273,2024-01-28T08:30:00,expired_card,54
FAIL-0000231,ATT-0001393,TXN-0001235,CUST-000273,2024-01-29T08:30:00,expired_card,54
FAIL-0000232,ATT-0001406,TXN-0001248,CUST-000277,2021-03-17T07:38:00,invalid_payment_method,14
FAIL-0000233,ATT-0001407,TXN-0001248,CUST-000277,2021-03-20T07:38:00,invalid_payment_method,14
FAIL-0000234,ATT-0001410,TXN-0001251,CUST-000278,2023-02-17T21:14:00,invalid_payment_method,14
FAIL-0000235,ATT-0001411,TXN-0001251,CUST-000278,2023-02-18T21:14:00,invalid_payment_method,14
FAIL-0000236,ATT-0001432,TXN-0001272,CUST-000282,2023-04-26T21:06:00,bank_unavailable,96
FAIL-0000237,ATT-0001433,TXN-0001272,CUST-000282,2023-04-29T21:06:00,bank_unavailable,96
FAIL-0000238,ATT-0001434,TXN-0001272,CUST-000282,2023-05-09T21:06:00,bank_unavailable,96
FAIL-0000239,ATT-0001440,TXN-0001278,CUST-000284,2023-07-05T04:52:00,insufficient_funds,51
FAIL-0000240,ATT-0001442,TXN-0001279,CUST-000284,2023-09-25T04:34:00,invalid_payment_method,14
FAIL-0000241,ATT-0001443,TXN-0001279,CUST-000284,2023-09-26T04:34:00,invalid_payment_method,14
FAIL-0000242,ATT-0001445,TXN-0001280,CUST-000285,2019-07-14T18:31:00,expired_card,54
FAIL-0000243,ATT-0001446,TXN-0001280,CUST-000285,2019-07-16T18:31:00,expired_card,54
FAIL-0000244,ATT-0001447,TXN-0001281,CUST-000285,2019-09-22T17:42:00,insufficient_funds,51
FAIL-0000245,ATT-0001448,TXN-0001281,CUST-000285,2019-09-25T17:42:00,insufficient_funds,51
FAIL-0000246,ATT-0001449,TXN-0001281,CUST-000285,2019-10-04T17:42:00,insufficient_funds,51
FAIL-0000247,ATT-0001450,TXN-0001282,CUST-000285,2020-01-20T17:31:00,bank_unavailable,96
FAIL-0000248,ATT-0001451,TXN-0001282,CUST-000285,2020-01-23T17:31:00,bank_unavailable,96
FAIL-0000249,ATT-0001452,TXN-0001282,CUST-000285,2020-01-27T17:31:00,bank_unavailable,96
FAIL-0000250,ATT-0001453,TXN-0001283,CUST-000285,2020-03-09T19:50:00,risk_review_hold,57
FAIL-0000251,ATT-0001454,TXN-0001284,CUST-000285,2020-04-18T19:57:00,insufficient_funds,51
FAIL-0000252,ATT-0001455,TXN-0001284,CUST-000285,2020-04-19T19:57:00,insufficient_funds,51
